,Several major issues concerning the environmental transmission and risk prevention of SARS-CoV-2,Jin MaJian XuXiaoli ZhaoShouliang HuoXiaoli DuanYunsong MuYing WangYuan WeiJiang ChangXiaowei JinFengchang Wu,65,,2022,http://link.springer.com/article/10.1007/s11430-021-9918-9
,Prediction of personal protective equipment use in hospitals during COVID-19,Eugene FurmanAlex CressmanSaeha ShinAlexey KuznetsovFahad RazakAmol VermaAdam Diamant,24,,2021,http://link.springer.com/article/10.1007/s10729-021-09561-5
,"Managing pandemics as super wicked problems: lessons from, and for, COVID-19 and the climate crisis",Graeme AuldSteven BernsteinBenjamin CashoreKelly Levin,54,,2021,http://link.springer.com/article/10.1007/s11077-021-09442-2
,COVID-CheXNet: hybrid deep learning framework for identifying COVID-19 virus in chest X-rays images,Alaa S. Al-WaisyShumoos Al-FahdawiMazin Abed MohammedKarrar Hameed AbdulkareemSalama A. MostafaMashael S. MaashiMuhammad ArifBegonya Garcia-Zapirain,,,2020,http://link.springer.com/article/10.1007/s00500-020-05424-3
,Forecasting COVID-19 infections in the Arabian Gulf region,Sami Khedhiri,,,2021,http://link.springer.com/article/10.1007/s40808-021-01332-z
,Global prediction model for COVID-19 pandemic with the characteristics of the multiple peaks and local fluctuations,Haoran DaiWen CaoXiaochong TongYunxing YaoFeilin PengJingwen ZhuYuzhen Tian,22,,2022,http://link.springer.com/article/10.1186/s12874-022-01604-x
,Ethical reflections on the COVID-19 pandemic in the global seafood industry: navigating diverse scales and contexts of marine values and identities,Mimi E. Lam,20,,2021,http://link.springer.com/article/10.1007/s40152-021-00247-w
,Using artificial intelligence technology to fight COVID-19: a review,Yong PengEnbin LiuShanbi PengQikun ChenDangjian LiDianpeng Lian,,,2022,http://link.springer.com/article/10.1007/s10462-021-10106-z
,Reliable energy and responsive built environment: the missing links in COVID-19 response in resource-limited settings,Arvind Vashishta RinkooDinesh SongaraArnika SharmaBiswa Ranjan PatnaikRajesh Ranjan SinghRakesh Kumar Srivastava,48,,2020,http://link.springer.com/article/10.1186/s41182-020-00255-2
,"European Association of Nuclear Medicine October 22 – 30, 2020 Virtual",,47,,2020,http://link.springer.com/article/10.1007/s00259-020-04988-4
,Prediction of muscular paralysis disease based on hybrid feature extraction with machine learning technique for COVID-19 and post-COVID-19 patients,Prabu SubramaniSrinivas KKavitha Rani BSujatha RParameshachari B.D,,,2021,http://link.springer.com/article/10.1007/s00779-021-01531-6
,A Bayesian machine learning approach for spatio-temporal prediction of COVID-19 cases,Poshan NiraulaJorge MateuSomnath Chaudhuri,,,2022,http://link.springer.com/article/10.1007/s00477-021-02168-w
,A new SEAIRD pandemic prediction model with clinical and epidemiological data analysis on COVID-19 outbreak,Xian-Xian LiuSimon James FongNilanjan DeyRubén González CrespoEnrique Herrera-Viedma,51,,2021,http://link.springer.com/article/10.1007/s10489-020-01938-3
,"The Good, The Bad and The Ugly: A Mathematical Model Investigates the Differing Outcomes Among CoVID-19 Patients",Sarthak SahooSiddharth JhunjhunwalaMohit Kumar Jolly,100,,2020,http://link.springer.com/article/10.1007/s41745-020-00205-1
,Public governance of medical artificial intelligence research in the UK: an integrated multi-scale model,Francis McKayBethany J. WilliamsGraham PrestwichDarren TreanorNina Hallowell,8,,2022,http://link.springer.com/article/10.1186/s40900-022-00357-7
,Developing a real-time social distancing detection system based on YOLOv4-tiny and bird-eye view for COVID-19,Sergio SaponaraAbdussalam ElhanashiQinghe Zheng,19,,2022,http://link.springer.com/article/10.1007/s11554-022-01203-5
,"Nonlinear dynamics of COVID-19 pandemic: modeling, control, and future perspectives",J. A. Tenreiro MachadoJun Ma,101,,2020,http://link.springer.com/article/10.1007/s11071-020-05919-6
,Evaluating the effectiveness of Hong Kong’s border restriction policy in reducing COVID-19 infections,Pengyu ZHUXinying TAN,22,,2022,http://link.springer.com/article/10.1186/s12889-022-13234-5
,Machine learning based on clinical characteristics and chest CT quantitative measurements for prediction of adverse clinical outcomes in hospitalized patients with COVID-19,Zhichao FengHui ShenKai GaoJianpo SuShanhu YaoQin LiuZhimin YanJunhong DuanDali YiHuafei ZhaoHuiling LiQizhi YuWenming ZhouXiaowen MaoXin OuyangJi Mei,31,,2021,http://link.springer.com/article/10.1007/s00330-021-07957-z
,Integrated multi-scale water management as a climate change adaptation strategy,Raymond R. TanDominic C. Y. Foo,20,,2018,http://link.springer.com/article/10.1007/s10098-018-1551-1
,Using GIS-based spatial analysis to determine urban greenspace accessibility for different racial groups in the backdrop of COVID-19: a case study of four US cities,Arun PallathadkaLaxmi PallathadkaSneha RaoHeejun ChangDorn Van Dommelen,,,2021,http://link.springer.com/article/10.1007/s10708-021-10538-8
,Spatial prediction of COVID-19 epidemic using ARIMA techniques in India,Santanu RoyGouri Sankar BhuniaPravat Kumar Shit,7,,2021,http://link.springer.com/article/10.1007/s40808-020-00890-y
,Significant Unresolved Questions and Opportunities for Bioengineering in Understanding and Treating COVID-19 Disease Progression,Jasmine ShiraziMichael J. DonzantiKatherine M. NelsonRyan ZurakowskiCatherine A. FromenJason P. Gleghorn,13,,2020,http://link.springer.com/article/10.1007/s12195-020-00637-w
,Building up an ecologically sustainable and socially desirable post-COVID-19 future,Rémi DuflotStefan BaumeisterDaniel BurgasKyle EyvindsonMaría TriviñoClemens BlattertAnna KuparinenMária Potterf,16,,2021,http://link.springer.com/article/10.1007/s11625-021-00940-z
,Hybrid-COVID: a novel hybrid 2D/3D CNN based on cross-domain adaptation approach for COVID-19 screening from chest X-ray images,Khaled BayoudhFayçal HamdaouiAbdellatif Mtibaa,43,,2020,http://link.springer.com/article/10.1007/s13246-020-00957-1
,Prediction and analysis of COVID-19 daily new cases and cumulative cases: times series forecasting and machine learning models,Yanding WangZehui YanDing WangMeitao YangZhiqiang LiXinran GongDi WuLingling ZhaiWenyi ZhangYong Wang,22,,2022,http://link.springer.com/article/10.1186/s12879-022-07472-6
,Causal mutations from adaptive laboratory evolution are outlined by multiple scales of genome annotations and condition-specificity,Patrick V. PhaneufJames T. YurkovichDavid HeckmannMuyao WuTroy E. SandbergZachary A. KingJustin TanBernhard O. PalssonAdam M. Feist,21,,2020,http://link.springer.com/article/10.1186/s12864-020-06920-4
,"Preliminary prediction of the control reproduction number of COVID-19 in Shaanxi Province, China",Zhi-min LiTai-lei ZhangJian-zhong GaoXiu-qing LiLing-juan MaXiong-xiong Bao,36,,2021,http://link.springer.com/article/10.1007/s11766-021-4065-2
,Emerging geo-data sources to reveal human mobility dynamics during COVID-19 pandemic: opportunities and challenges,Xiao LiHaowen XuXiao HuangChenxiao (Atlas) GuoYuhao KangXinyue Ye,1,,2021,http://link.springer.com/article/10.1007/s43762-021-00022-x
,Prediction of COVID-19 deterioration in high-risk patients at diagnosis: an early warning score for advanced COVID-19 developed by machine learning,Carolin E. M. JakobUjjwal Mukund MahajanMarcus OswaldMelanie StecherMaximilian SchonsJulia MayerleSiegbert RiegMathias PletzUta MerleKai WilleStefan BorgmannChristoph D. SpinnerSebastian DolffClemens SchererLisa PilgramMaria Rüthrich,50,,2022,http://link.springer.com/article/10.1007/s15010-021-01656-z
,Computer simulations on oxidative stress-induced reactions in SARS-CoV-2 spike glycoprotein: a multi-scale approach,Oscar BertranDidac MartíJuan TorrasPau TuronCarlos Alemán,,,2022,http://link.springer.com/article/10.1007/s11030-021-10373-6
,Spatiotemporal modeling of first and second wave outbreak dynamics of COVID-19 in Germany,Dorothee LippoldAndreas KergaßnerChristian BurkhardtMatthias KergaßnerJonas LoosSarah NistlerPaul SteinmannDominik BuddaySilvia Budday,21,,2022,http://link.springer.com/article/10.1007/s10237-021-01520-x
,A linear dynamical perspective on epidemiology: interplay between early COVID-19 outbreak and human mobility,Shakib MustaveeShaurya AgarwalChinwendu EnyiohaSuddhasattwa Das,,,2022,http://link.springer.com/article/10.1007/s11071-022-07469-5
,Comparison of Risk-Prediction Instruments in Frail Older Patients Diagnosed with COVID-19,Rónán O’CaoimhM. O’DonovanK. McGrathE. Moloney,11,,2022,http://link.springer.com/article/10.14283/jfa.2021.26
,Two-stage deep learning hybrid framework based on multi-factor multi-scale and intelligent optimization for air pollutant prediction and early warning,Jujie WangWenjie XuJian DongYue Zhang,,,2022,http://link.springer.com/article/10.1007/s00477-022-02202-5
,The asymmetric and multi-scale volatility correlation between global oil price and economic policy uncertainty of China,Qisheng JiangSheng ChengYan CaoZicheng Wang,29,,2022,http://link.springer.com/article/10.1007/s11356-021-16446-1
,COMAL: compositional multi-scale feature enhanced learning for crowd counting,Fangbo ZhouHuailin ZhaoYani ZhangQing ZhangLanjun LiangYaoyao LiZuodong Duan,81,,2022,http://link.springer.com/article/10.1007/s11042-022-12249-9
,Surface Defect Detection and Recognition Method for Multi-Scale Commutator Based on Deep Transfer Learning,Yufeng ShuBin Li,,,2021,http://link.springer.com/article/10.1007/s13369-021-05963-3
,Pathological lung segmentation based on random forest combined with deep model and multi-scale superpixels,Caixia LiuRuibin ZhaoWangli XieMingyong Pang,52,,2020,http://link.springer.com/article/10.1007/s11063-020-10330-8
,Exploring the short-term and long-term linkages between carbon price and influence factors considering COVID-19 impact,Zhibin WuWen ZhangXiaojun Zeng,,,2022,http://link.springer.com/article/10.1007/s11356-022-19858-9
,Mathematical Models for COVID-19 Pandemic: A Comparative Analysis,Aniruddha AdigaDevdatt DubhashiBryan LewisMadhav MaratheSrinivasan VenkatramananAnil Vullikanti,100,,2020,http://link.springer.com/article/10.1007/s41745-020-00200-6
,Prediction of the COVID-19 infectivity and the sustainable impact on public health under deep learning algorithm,Weiwei WangJinghui CaiJiali XuYuxiang WangYulin Zou,,,2021,http://link.springer.com/article/10.1007/s00500-021-06142-0
,Outbreak COVID-19 in Medical Image Processing Using Deep Learning: A State-of-the-Art Review,Jaspreet KaurPrabhpreet Kaur,29,,2022,http://link.springer.com/article/10.1007/s11831-021-09667-7
,Deep transfer learning-based automated detection of COVID-19 from lung CT scan slices,Sakshi AhujaBijaya Ketan PanigrahiNilanjan DeyVenkatesan RajinikanthTapan Kumar Gandhi,51,,2021,http://link.springer.com/article/10.1007/s10489-020-01826-w
,"Diets, Diseases, and Discourse: Lessons from COVID-19 for Trade in Wildlife, Public Health, and Food Systems Reform",Angela LeeAdam R. Houston,5,,2020,http://link.springer.com/article/10.1007/s41055-020-00075-4
,A probabilistic model to evaluate the effectiveness of main solutions to COVID-19 spreading in university buildings according to proximity and time-based consolidated criteria,Marco D’OrazioGabriele BernardiniEnrico Quagliarini,14,,2021,http://link.springer.com/article/10.1007/s12273-021-0770-2
,Newly developed artificial intelligence algorithm for COVID-19 pneumonia: utility of quantitative CT texture analysis for prediction of favipiravir treatment effect,Yoshiharu OhnoKota AoyagiKazumasa ArakitaYohei DoiMasashi KondoSumi BannoKei KasaharaTaku OgawaHideaki KatoRyota HaseFumihiro KashizakiKoichi NishiTadashi KamioKeiko MitamuraNobuhiro IkedaAtsushi Nakagawa,,,2022,http://link.springer.com/article/10.1007/s11604-022-01270-5
,A Novel Prediction Model of COVID-19 Progression: A Retrospective Cohort Study,Wei XuChenLu HuangLing FeiWeiXia LiXuDong XieQiang LiLiang Chen,10,,2021,http://link.springer.com/article/10.1007/s40121-021-00460-4
,Improving Service Quality of Wealth Management Bank for High-Net-Worth Customers During COVID-19: A Fuzzy-DEMATEL Approach,Arthur J. LinHai-Yen ChangSun-Weng HuangGwo-Hshiung Tzeng,23,,2021,http://link.springer.com/article/10.1007/s40815-021-01130-w
,Discriminant models for the prediction of postponed viral shedding time and disease progression in COVID-19,Wen-Yang LiDaqing WangYuhao GuoHong HuangHongwen ZhaoJian KangWei Wang,22,,2022,http://link.springer.com/article/10.1186/s12879-022-07338-x
,Modeling and prediction of the transmission dynamics of COVID-19 based on the SINDy-LM method,Yu-Xin JiangXiong XiongShuo ZhangJia-Xiang WangJia-Chun LiLin Du,105,,2021,http://link.springer.com/article/10.1007/s11071-021-06707-6
,A Novel Prediction Model for Long-Term SARS-CoV-2 RNA Shedding in Non-Severe Adult Hospitalized Patients with COVID-19: A Retrospective Cohort Study,Chen Lu HuangLing FeiWeiXia LiWei XuXu Dong XieQiang LiLiang Chen,10,,2021,http://link.springer.com/article/10.1007/s40121-021-00437-3
,Deep neural networks for COVID-19 detection and diagnosis using images and acoustic-based techniques: a recent review,Walid HaririAli Narin,25,,2021,http://link.springer.com/article/10.1007/s00500-021-06137-x
,COVID-19 prediction analysis using artificial intelligence procedures and GIS spatial analyst: a case study for Iraq,Bashar Moneer YahyaFarah Samier YahyaRayan Ghazi Thannoun,13,,2021,http://link.springer.com/article/10.1007/s12518-021-00365-4
,"The Assessment of COVID-19 Knowledge and Attitudes Among a Middle Eastern North African Community in Dearborn, Michigan",Malak A. IsmailMarwa KhalilRoukaya NajdiR. A. Blackwood,47,,2022,http://link.springer.com/article/10.1007/s10900-021-01022-y
,Modeling the relationship between carbon emissions and environmental sustainability during COVID-19: a new evidence from asymmetric ARDL cointegration approach,Muddassar SarfrazMuhammad MohsinSobia NaseemAmit Kumar,23,,2021,http://link.springer.com/article/10.1007/s10668-021-01324-0
,"Epistemic Ignorance, Poverty and the COVID-19 Pandemic",Cristian Timmermann,12,,2020,http://link.springer.com/article/10.1007/s41649-020-00140-4
,"Health geo-governance to assess the vulnerability of Batna, Algeria to COVID-19: the role of GIS in the fight against a pandemic",Mohammed Issam KallaBelkacem LahmarSami GeullouhMahdi Kalla,,,2021,http://link.springer.com/article/10.1007/s10708-021-10449-8
,Policy Lessons From Medical Responses to the COVID-19 Crisis,Giovanni Dosi,56,,2021,http://link.springer.com/article/10.1007/s10272-021-1009-2
,Prediction of COVID-19 Outbreak in China and Optimal Return Date for University Students Based on Propagation Dynamics,Ganyu Huang 黄甘雨Qiaoyi Pan 潘荍仪Shuangying Zhao 赵双楹Yucen Gao 高宇岑Xiaofeng Gao 高晓沨,25,,2020,http://link.springer.com/article/10.1007/s12204-020-2167-2
,The prediction for development of COVID-19 in global major epidemic areas through empirical trends in China by utilizing state transition matrix model,Zhong ZhengKe WuZhixian YaoXinyi ZhengJunhua ZhengJian Chen,20,,2020,http://link.springer.com/article/10.1186/s12879-020-05417-5
,Risk estimation and prediction of the transmission of coronavirus disease-2019 (COVID-19) in the mainland of China excluding Hubei province,Hui WanJing-An CuiGuo-Jing Yang,9,,2020,http://link.springer.com/article/10.1186/s40249-020-00683-6
,"Circulating levels of calprotectin, a signature of neutrophil activation in prediction of severe respiratory failure in COVID-19 patients: a multicenter, prospective study (CalCov study)",Luis García de Guadiana-RomualdoCarlos Rodríguez RojasDaniel Morell-GarcíaDavid Andaluz-OjedaMaría Dolores Rodríguez MuleroEnrique Rodríguez-BorjaAntonieta Ballesteros-VizosoMaría Dolores CalvoLourdes Albert-BotellaAdela Pozo GiráldezIsabel Llompart-AlabernCristina Bolado JiménezMarta Hernández OlivoLucía Fernández PresaJuan Ortega-PérezMaría José Fora Romero,71,,2022,http://link.springer.com/article/10.1007/s00011-021-01516-4
,Estimation and optimal control of the multiscale dynamics of Covid-19: a case study from Cameroon,David Jaurès Fotsa-MbogneStéphane Yanick TchoumiYannick Kouakep-TchaptchieVivient Corneille KamlaJean-Claude KamgangDuplex Elvis Houpa-DangaSamuel Bowong-TsakouDavid Bekolle,106,,2021,http://link.springer.com/article/10.1007/s11071-021-06920-3
,Integration of heparin-binding protein and interleukin-6 in the early prediction of respiratory failure and mortality in pneumonia by SARS-CoV-2 (COVID-19),Maria SaridakiSimeon MetallidisSotiria GrigoropoulouEmmanouil VrentzosMalvina LadaKaterina ArgyrakiOlga TsachouridouAnna GeorgiadouAnil VasishtaEvangelos J. Giamarellos-Bourboulis,40,,2021,http://link.springer.com/article/10.1007/s10096-020-04145-7
,Adaptive mesh refinement and coarsening for diffusion–reaction epidemiological models,Malú GraveAlvaro L. G. A. Coutinho,67,,2021,http://link.springer.com/article/10.1007/s00466-021-01986-7
,Multi-scale modeling of drug binding kinetics to predict drug efficacy,Fabrizio ClarelliJingyi LiangAntal MartineczInes HeilandPia Abel zur Wiesch,77,,2020,http://link.springer.com/article/10.1007/s00018-019-03376-y
,Global air transport complex network: multi-scale analysis,Weisi GuoBogdan ToaderRoxana FeierGuillem MosqueraFabian YingSe-Wook OhMatthew Price-WilliamsArmin Krupp,1,,2019,http://link.springer.com/article/10.1007/s42452-019-0702-2
,Spatial prediction and mapping of the COVID-19 hotspot in India using geostatistical technique,Farhana ParvinSk Ajim AliS. Najmul Islam HashmiAteeque Ahmad,29,,2021,http://link.springer.com/article/10.1007/s41324-020-00375-1
,"How do you feel during the COVID-19 pandemic? A survey using psychological and linguistic self-report measures, and machine learning to investigate mental health, subjective experience, personality, and behaviour during the COVID-19 pandemic among university students",Cornelia HerbertAlia El BolockSlim Abdennadher,9,,2021,http://link.springer.com/article/10.1186/s40359-021-00574-x
,Clinical prediction models for diagnosis of COVID-19 among adult patients: a validation and agreement study,Nadia DardenneMédéa LocquetAnh Nguyet DiepAllison GilbertSophie DelrezCharlotte BeaudartChristian BrabantAlexandre GhuysenAnne-Françoise DonneauOlivier Bruyère,22,,2022,http://link.springer.com/article/10.1186/s12879-022-07420-4
,Multilevel depth-wise context attention network with atrous mechanism for segmentation of COVID19 affected regions,Abdul QayyumMona MazharImran RazzakMohamed Reda Bouadjenek,,,2021,http://link.springer.com/article/10.1007/s00521-021-06636-w
,Images denoising for COVID-19 chest X-ray based on multi-resolution parallel residual CNN,Xiaoben JiangYu ZhuBingbing ZhengDawei Yang,32,,2021,http://link.springer.com/article/10.1007/s00138-021-01224-3
,SAUNet++: an automatic segmentation model of COVID-19 lesion from CT slices,Hanguang XiaoZhiqiang RanShingo MabuYuewei LiLi Li,,,2022,http://link.springer.com/article/10.1007/s00371-022-02414-4
,Exploring the influence of human mobility factors and spread prediction on early COVID-19 in the USA,Zhicheng ZhengZhixiang XieYaochen QinKun WangYan YuPinde Fu,21,,2021,http://link.springer.com/article/10.1186/s12889-021-10682-3
,A spatiotemporal analysis of urban resilience to the COVID-19 pandemic in the Yangtze River Delta,Xiansheng ChenRuisong Quan,106,,2021,http://link.springer.com/article/10.1007/s11069-020-04493-9
,Improving effectiveness of different deep learning-based models for detecting COVID-19 from computed tomography (CT) images,Erdi AcarEngin Şahinİhsan Yılmaz,33,,2021,http://link.springer.com/article/10.1007/s00521-021-06344-5
,On Coase and COVID-19,Darcy W. E. AllenChris BergSinclair DavidsonJason Potts,,,2022,http://link.springer.com/article/10.1007/s10657-022-09741-w
,Venous thromboembolism in COVID-19 patients and prediction model: a multicenter cohort study,Yi LeeQasim JehangirPin LiDeepthi GudimellaPooja MahaleChun-Hui LinDinesh R. ApalaGeetha KrishnamoorthyAbdul R. HalabiKiritkumar PatelLaila PoissonVenugopal BalijepallyAnupam A. SuleGirish B. Nair,22,,2022,http://link.springer.com/article/10.1186/s12879-022-07421-3
,Descriptive understanding and prediction in COVID-19 modelling,Johannes FindlJavier Suárez,43,,2021,http://link.springer.com/article/10.1007/s40656-021-00461-z
,Data-driven prediction of COVID-19 cases in Germany for decision making,Lukas RefischFabian LorenzTorsten RiedlingerHannes TaubenböckMartina FischerLinus GrabenhenrichMartin WolkewitzHarald BinderClemens Kreutz,22,,2022,http://link.springer.com/article/10.1186/s12874-022-01579-9
,Deep Learning–Based Approaches to Improve Classification Parameters for Diagnosing COVID-19 from CT Images,Huseyin YasarMurat Ceylan,,,2021,http://link.springer.com/article/10.1007/s12559-021-09915-9
,Prediction of bifurcations by varying critical parameters of COVID-19,Fahimeh NazarimehrViet-Thanh PhamTomasz Kapitaniak,101,,2020,http://link.springer.com/article/10.1007/s11071-020-05749-6
,COVID-19: A Comprehensive Review of Learning Models,Shivam ChaharPradeep Kumar Roy,29,,2022,http://link.springer.com/article/10.1007/s11831-021-09641-3
,CT-based radiomic nomogram for predicting the severity of patients with COVID-19,Hengfeng ShiZhihua XuGuohua ChengHongli JiLinyang HeJuan ZhuHanjin HuZongyu XieWeiqun AoJian Wang,27,,2022,http://link.springer.com/article/10.1186/s40001-022-00634-x
,Application of Mathematical Modeling in Prediction of COVID-19 Transmission Dynamics,Ali AlArjaniMd Taufiq NasseefSanaa M. KamalB. V. Subba RaoMufti MahmudMd Sharif Uddin,,,2022,http://link.springer.com/article/10.1007/s13369-021-06419-4
,Potential mechanism prediction of Cold-Damp Plague Formula against COVID-19 via network pharmacology analysis and molecular docking,Lin HanXiu-Xiu WeiYu-Jiao ZhengLi-Li ZhangXin-Miao WangHao-Yu YangXu MaLin-Hua ZhaoXiao-Lin Tong,15,,2020,http://link.springer.com/article/10.1186/s13020-020-00360-8
,Modality specific U-Net variants for biomedical image segmentation: a survey,Narinder Singh PunnSonali Agarwal,,,2022,http://link.springer.com/article/10.1007/s10462-022-10152-1
,Covid Visual Assessment Scale (“Co.V.A.Sc.”): quantification of COVID-19 disease extent on admission chest computed tomography (CT) in the prediction of clinical outcome—a retrospective analysis of 273 patients,Nikolaos-Achilleas ArkoudisEmmanouil KarofylakisOrnella Moschovaki-ZeigerEmmanouil VrentzosKonstantinos PalialexisDimitrios FilippiadisNikolaos OikonomopoulosNikolaos KelekisStavros Spiliopoulos,29,,2022,http://link.springer.com/article/10.1007/s10140-022-02034-4
,Automated Pulmonary Fibrosis Segmentation Using a 3D Multi-Scale Convolutional Encoder-Decoder Approach in Thoracic CT for the Rhesus Macaque with Radiation-Induced Lung Damage,Dong YangGiovanni LasioBaoshe ZhangByong YiShifeng ChenYin ZhangThomas J. MacvittieDimitris MetaxasJinghao Zhou,94,,2022,http://link.springer.com/article/10.1007/s11265-020-01605-3
,Six-month outcomes of the HOPE smartphone application designed to support treatment with medications for opioid use disorder and piloted during an early statewide COVID-19 lockdown,Jacqueline HodgesMarika WaselewskiWilliam HarringtonTaylor FranklinKelly SchorlingJacqueline HuynhAlexa TabackmanKori OteroKaren IngersollNassima Ait-Daoud TiouririneTabor FlickingerRebecca Dillingham,17,,2022,http://link.springer.com/article/10.1186/s13722-022-00296-4
,Dynamic interventions to control COVID-19 pandemic: a multivariate prediction modelling study comparing 16 worldwide countries,Rajiv ChowdhuryKevin HengMd Shajedur Rahman ShawonGabriel GohDaisy OkonofuaCarolina Ochoa-RosalesValentina Gonzalez-JaramilloAbbas BhuiyaDaniel ReidpathShamini PrathapanSara ShahzadChristian L. AlthausNathalia Gonzalez-JaramilloOscar H. Franco,35,,2020,http://link.springer.com/article/10.1007/s10654-020-00649-w
,Various Facets of Pathogenic Lipids in Infectious Diseases: Exploring Virulent Lipid-Host Interactome and Their Druggability,Ruchika DadhichShobhna Kapoor,253,,2020,http://link.springer.com/article/10.1007/s00232-020-00135-0
,Clinical risk scores for the early prediction of severe outocomes in patients hospitalized for COVID-19: comment,Raffaella RossioMauro TettamantiAlessandro NobiliSergio HarariPier Mannuccio MannucciAlessandra BanderaFlora Peyvandi,17,,2022,http://link.springer.com/article/10.1007/s11739-021-02807-8
,SRI 2021: Scientific Abstracts,,28,,2021,http://link.springer.com/article/10.1007/s43032-021-00654-8
,Rapid COVID-19 diagnosis using ensemble deep transfer learning models from chest radiographic images,Neha GianchandaniAayush JaiswalDilbag SinghVijay KumarManjit Kaur,,,2020,http://link.springer.com/article/10.1007/s12652-020-02669-6
,Deep learning-based meta-classifier approach for COVID-19 classification using CT scan and chest X-ray images,Vinayakumar RaviHarini NarasimhanChinmay ChakrabortyTuan D. Pham,,,2021,http://link.springer.com/article/10.1007/s00530-021-00826-1
,ECR 2021 Book of Abstracts,,12,,2021,http://link.springer.com/article/10.1186/s13244-021-01014-5
